,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
28885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38214,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38851,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,12,8,3,7
51488,1,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,2,1,0,1,0,2,0,4,0,0,0,1,0
55299,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,5
69432,4,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0
69434,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69436,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,1,0,0,2
74775,3,2,1,0,2,8,10,10,12,29,23,17,13,14,20,34,34,28,22,15,9,19,12,9,11,10,28,6,21
80013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80969,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
93536,2,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
93738,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
97507,1,0,0,0,2,1,3,0,0,1,2,4,0,3,6,10,14,11,4,6,7,6,9,17,7,16,1,11,8
136991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,1,3,4,2,2,0,2,0,0,0,4,1,3,1,1,3,0,2,0,0,5,5,1,0,0,0,0,0,0
868,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
874,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,5,4,3,2,0,0,1,7,1,6,1,6,9,5,6,6,8,5,7,7,6,4,0,4,2,5,3,5,0
1817,3,0,3,0,0,0,1,5,1,2,0,1,0,2,1,4,0,2,2,0,0,6,1,0,3,0,3,0,0
3788,3,0,0,0,1,0,1,0,2,1,0,0,2,0,1,1,2,7,4,0,0,3,0,0,0,0,0,0,0
955,1,0,1,7,0,2,1,0,4,0,3,12,8,0,7,1,1,2,0,3,0,5,0,0,0,1,0,2,0
1801,1,1,4,1,0,1,2,1,0,14,1,2,0,1,2,0,7,2,5,8,7,5,0,15,1,0,9,0,9
7540,2,4,1,2,5,0,0,0,0,4,0,2,11,0,10,2,0,9,0,7,2,1,0,1,2,4,0,0,1
11562,2,2,1,3,1,0,2,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,1,0,2,0,0,1
1134,5,5,0,0,5,1,7,0,2,0,0,6,0,4,0,4,1,0,0,0,0,0,0,3,4,0,4,0,0
7702,2,3,0,0,0,0,5,0,1,5,4,0,6,0,0,1,0,0,2,1,0,0,0,0,0,6,1,0,0
13792,4,8,1,0,3,2,3,0,7,1,0,5,3,2,0,6,5,2,2,3,0,2,3,2,5,9,1,0,0
13939,1,0,0,1,0,0,0,1,3,2,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
101970,2,2,0,3,5,4,4,0,1,0,4,1,3,4,7,0,3,0,0,0,0,0,0,0,2,0,2,0,0
1449,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0
65859,1,0,0,0,0,0,0,2,0,1,2,1,1,2,1,2,0,2,4,2,0,4,1,0,3,0,1,1,3
1538,1,0,0,0,5,0,0,9,0,0,0,9,0,1,0,2,2,2,0,2,0,0,11,3,0,0,0,0,8
1563,1,3,2,0,3,2,2,4,1,1,6,4,0,3,3,3,2,0,0,1,8,2,1,1,0,2,2,0,0
1600,3,0,0,2,0,0,4,0,0,0,0,3,0,1,0,3,4,8,9,2,0,5,3,3,5,0,0,0,0
8654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
46146,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3273,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1934,3,4,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9496,7,2,0,0,1,5,1,0,0,0,0,1,1,0,1,3,1,5,1,0,0,0,0,0,0,0,0,0,0
1954,3,6,4,5,5,2,6,5,3,10,18,11,5,2,4,5,0,2,2,0,6,2,5,3,5,5,0,1,0
12191,2,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
76119,3,1,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,1,0,0,4,1,1,0,2,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3536,1,0,5,4,3,1,6,8,6,2,1,11,3,2,0,1,0,0,0,0,0,2,0,0,1,0,0,5,0
2588,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,4,1,0,0,0,5,1,1,0,1,0,1,2,0,0,5,0,4,0,0,2,0,1,0,0,1,3,0,3
12646,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2610,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
3081,2,3,0,3,2,3,0,0,2,3,3,0,5,0,16,9,9,19,19,19,24,8,28,28,19,24,27,23,23
98545,2,0,1,0,0,0,0,0,2,6,3,0,0,3,8,10,0,0,0,0,0,1,0,1,0,0,0,0,0
3175,1,0,0,0,2,1,0,0,7,3,1,2,5,5,5,11,9,19,15,15,12,41,28,32,22,11,23,9,22
49116,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,2,0,0,0,0,0,1,3,0,0,6,1
5453,6,5,6,3,13,10,11,2,2,4,18,8,6,3,5,6,8,7,4,5,16,6,5,0,5,1,1,0,0
3382,3,3,4,0,5,2,0,0,3,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12572,2,0,5,2,4,3,8,2,7,2,2,2,11,2,0,2,0,2,2,0,0,0,0,0,0,0,5,0,0
17470,2,0,4,0,0,3,0,0,0,2,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
77903,1,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
9054,2,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0
11595,2,6,0,0,1,3,0,2,0,0,0,0,0,0,1,2,0,0,5,0,0,0,1,0,0,0,0,0,0
7349,1,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,11,6,8,11,20,17,15
10971,1,2,0,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
4136,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54635,1,1,0,0,0,3,0,0,0,2,1,4,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
4936,2,1,2,1,1,1,0,1,0,0,12,2,0,0,0,3,5,6,0,1,5,0,0,3,2,0,2,0,0
16515,2,2,0,2,0,0,0,0,0,3,0,3,0,0,3,2,3,2,0,0,0,1,7,0,2,1,3,0,2
6635,3,0,0,1,2,3,1,2,0,1,6,1,0,3,1,6,0,0,5,9,1,2,1,0,4,4,3,4,3
7769,2,1,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9286,3,2,5,3,6,2,5,14,19,30,25,47,39,55,66,59,56,91,65,70,56,71,107,69,82,71,69,75,144
5921,2,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67372,3,0,0,0,0,0,0,0,0,3,0,4,1,5,0,0,2,0,2,5,7,9,6,2,6,13,1,4,0
6035,1,2,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,1,0,5,5,6
15967,1,0,1,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8009,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
35748,1,1,1,2,0,0,2,1,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
22690,1,3,0,0,2,1,3,4,0,3,3,0,0,0,0,3,0,1,2,0,0,0,0,0,5,0,0,0,0
9223,1,4,2,1,0,0,0,0,5,0,2,2,6,0,1,3,2,0,0,0,0,0,3,1,0,0,2,0,3
29701,1,1,4,1,4,0,0,0,7,1,3,0,1,0,5,2,0,0,0,0,4,0,0,0,2,8,0,0,0
22086,1,0,0,2,0,0,0,0,0,4,2,0,0,0,10,2,4,4,3,3,4,1,8,2,1,6,3,0,0
138066,6,7,1,7,7,11,11,12,2,3,1,3,5,2,4,2,3,0,0,6,0,1,0,2,0,0,2,0,0
19746,1,0,0,0,0,0,0,0,0,4,4,2,0,0,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0
27135,1,2,1,2,0,0,0,5,0,4,0,0,9,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
